frequency,normalized_amplitude
23131510,0.854
23138020,0.869
23144531,0.891
23151041,0.908
23157552,0.907
23164062,0.877
23170572,0.873
23177083,0.840
23183593,0.840
23190104,0.839
23196614,0.854
23203124,0.893
23209635,0.919
23216145,0.939
23222656,0.919
23229166,0.912
23235677,0.881
23242187,0.871
23248697,0.836
23255208,0.842
23261718,0.875
23268229,0.878
23274739,0.918
23281249,0.937
23287760,0.937
23294270,0.924
23300781,0.894
23307291,0.872
23313802,0.881
23320312,0.871
23326822,0.874
23333333,0.883
23339843,0.914
23346354,0.958
23352864,0.972
23359374,0.965
23365885,0.946
23372395,0.930
23378906,0.894
23385416,0.888
23391927,0.859
23398437,0.885
23404947,0.896
23411458,0.920
23417968,0.955
23424479,0.975
23430989,0.970
23437499,0.952
23444010,0.942
23450520,0.925
23457031,0.883
23463541,0.879
23470052,0.899
23476562,0.893
23483072,0.907
23489583,0.919
23496093,0.965
23502604,0.964
23509114,0.976
23515624,0.969
23522135,0.962
23528645,0.933
23535156,0.904
23541666,0.908
23548177,0.893
23554687,0.898
23561197,0.895
23567708,0.926
23574218,0.971
23580729,0.989
23587239,0.980
23593749,1.000
23600260,0.974
23606770,0.967
23613281,0.934
23619791,0.904
23626302,0.886
23632812,0.890
23639322,0.889
23645833,0.906
23652343,0.938
23658854,0.970
23665364,0.966
23671874,0.982
23678385,0.984
23684895,0.982
23691406,0.970
23697916,0.935
23704427,0.929
23710937,0.893
23717447,0.889
23723958,0.888
23730468,0.889
23736979,0.907
23743489,0.938
23749999,0.938
23756510,0.962
23763020,0.973
23769531,0.988
23776041,0.982
23782552,0.980
23789062,0.956
23795572,0.931
23802083,0.895
23808593,0.881
23815104,0.882
23821614,0.876
23828124,0.879
23834635,0.901
23841145,0.918
23847656,0.932
23854166,0.947
23860677,0.971
23867187,0.965
23873697,0.986
23880208,0.956
23886718,0.943
23893229,0.924
23899739,0.906
23906249,0.886
23912760,0.860
23919270,0.850
23925781,0.860
23932291,0.854
23938802,0.864
23945312,0.896
23951822,0.928
23958333,0.938
23964843,0.930
23971354,0.940
23977864,0.961
23984374,0.937
23990885,0.947
23997395,0.934
24003906,0.912
24010416,0.893
24016927,0.865
24023437,0.853
24029947,0.841
24036458,0.833
24042968,0.827
24049479,0.825
24055989,0.855
24062499,0.873
24069010,0.865
24075520,0.902
24082031,0.937
24088541,0.925
24095052,0.937
24101562,0.936
24108072,0.936
24114583,0.926
24121093,0.907
24127604,0.892
24134114,0.867
24140624,0.864
24147135,0.860
24153645,0.814
24160156,0.812
24166666,0.822
24173177,0.806
24179687,0.797
24186197,0.818
24192708,0.819
24199218,0.842
24205729,0.851
24212239,0.871
24218749,0.886
24225260,0.891
24231770,0.893
24238281,0.914
24244791,0.909
24251302,0.916
24257812,0.897
24264322,0.884
24270833,0.882
24277343,0.873
24283854,0.840
24290364,0.830
24296874,0.807
24303385,0.796
24309895,0.771
24316406,0.771
24322916,0.761
24329427,0.751
24335937,0.747
24342447,0.750
24348958,0.745
24355468,0.776
24361979,0.774
24368489,0.807
24374999,0.819
24381510,0.826
24388020,0.834
24394531,0.845
24401041,0.866
24407552,0.850
24414062,0.878
24420572,0.864
24427083,0.864
24433593,0.862
24440104,0.853
24446614,0.842
24453124,0.841
24459635,0.813
24466145,0.813
24472656,0.786
24479166,0.761
24485677,0.754
24492187,0.743
24498697,0.717
24505208,0.713
24511718,0.700
24518229,0.673
24524739,0.682
24531249,0.662
24537760,0.651
24544270,0.649
24550781,0.657
24557291,0.662
24563802,0.666
24570312,0.674
24576822,0.694
24583333,0.701
24589843,0.711
24596354,0.716
24602864,0.734
24609374,0.742
24615885,0.756
24622395,0.774
24628906,0.764
24635416,0.787
24641927,0.804
24648437,0.803
24654947,0.807
24661458,0.815
24667968,0.806
24674479,0.824
24680989,0.823
24687499,0.815
24694010,0.824
24700520,0.829
24707031,0.807
24713541,0.805
24720052,0.811
24726562,0.799
24733072,0.810
24739583,0.785
24746093,0.765
24752604,0.760
24759114,0.755
24765624,0.736
24772135,0.739
24778645,0.725
24785156,0.703
24791666,0.704
24798177,0.674
24804687,0.675
24811197,0.657
24817708,0.640
24824218,0.635
24830729,0.616
24837239,0.603
24843749,0.583
24850260,0.580
24856770,0.564
24863281,0.553
24869791,0.533
24876302,0.509
24882812,0.507
24889322,0.490
24895833,0.469
24902343,0.468
24908854,0.449
24915364,0.445
24921874,0.433
24928385,0.414
24934895,0.405
24941406,0.398
24947916,0.381
24954427,0.373
24960937,0.364
24967447,0.351
24973958,0.346
24980468,0.327
24986979,0.315
24993489,0.307
24999999,0.301
25006510,0.296
25013020,0.280
